route_id,town,status,score_composed,score_route,wall_s,attempt,ts
1711,Town12,Completed,100.0,100,97,1,2026-06-16 22:22:03
1773,Town12,Completed,100.0,100,100,1,2026-06-17 03:29:47
1790,Town12,Completed,100.0,100,120,1,2026-06-17 03:31:53
1792,Town12,Completed,100.0,100,110,1,2026-06-17 03:33:48
1825,Town12,Completed,100.0,100,135,1,2026-06-17 03:36:09
1833,Town12,Completed,100.0,100,130,1,2026-06-17 03:38:24
1852,Town12,Completed,100.0,100,135,1,2026-06-17 03:40:45
1956,Town12,Completed,100.0,100,125,1,2026-06-17 03:42:55
2050,Town12,Completed,100.0,100,105,1,2026-06-17 03:44:46
2082,Town12,Completed,100.0,100,105,1,2026-06-17 03:46:36
2084,Town12,Completed,100.0,100,105,1,2026-06-17 03:48:27
2086,Town12,Completed,100.0,100,100,1,2026-06-17 03:50:12
2091,Town12,Completed,100.0,100,115,1,2026-06-17 03:52:13
2115,Town12,Completed,100.0,100,120,1,2026-06-17 03:54:18
2127,Town12,Completed,100.0,100,100,1,2026-06-17 03:56:03
2129,Town12,Completed,100.0,100,110,1,2026-06-17 03:57:59
2143,Town12,Completed,100.0,100,105,1,2026-06-17 04:00:06
2144,Town12,Completed,100.0,100,150,1,2026-06-17 04:02:42
2164,Town12,Completed,100.0,100,115,1,2026-06-17 04:04:42
2201,Town12,Completed,100.0,100,110,1,2026-06-17 04:06:38
2204,Town12,Completed,100.0,100,115,1,2026-06-17 04:08:38
2215,Town12,Completed,100.0,100,170,1,2026-06-17 04:11:34
2273,Town12,Completed,100.0,100,100,1,2026-06-17 04:13:19
2283,Town12,Completed,100.0,100,120,1,2026-06-17 04:15:25
2286,Town12,Completed,100.0,100,110,1,2026-06-17 04:17:20
2373,Town12,Completed,100.0,100,120,1,2026-06-17 04:19:26
2390,Town12,Completed,100.0,100,120,1,2026-06-17 04:21:32
2397,Town12,Completed,100.0,100,115,1,2026-06-17 04:23:32
2403,Town12,Completed,100.0,100,110,1,2026-06-17 04:25:28
